full,ion,length,charge,neutral_loss,index
Z8,Z,8,1,,323
Z8^2,Z,8,2,,324
Z8^3,Z,8,3,,325
Z9,Z,9,1,,326
Z9^2,Z,9,2,,327
Z9^3,Z,9,3,,328
a1,a,1,1,,329
a10,a,10,1,,330
a10^2,a,10,2,,331
a10^3,a,10,3,,332
a11,a,11,1,,333
a11^2,a,11,2,,334
a11^3,a,11,3,,335
a12,a,12,1,,336
a12^2,a,12,2,,337
a12^3,a,12,3,,338
a13,a,13,1,,339
a13^2,a,13,2,,340
a13^3,a,13,3,,341
a14,a,14,1,,342
a14^2,a,14,2,,343
a14^3,a,14,3,,344
a15,a,15,1,,345
a15^2,a,15,2,,346
a15^3,a,15,3,,347
a16,a,16,1,,348
a16^2,a,16,2,,349
a16^3,a,16,3,,350
a17,a,17,1,,351
a17^2,a,17,2,,352
a17^3,a,17,3,,353
a18,a,18,1,,354
a18^2,a,18,2,,355
a18^3,a,18,3,,356
a19,a,19,1,,357
a19^2,a,19,2,,358
a19^3,a,19,3,,359
a2,a,2,1,,360
a20,a,20,1,,361
a20^2,a,20,2,,362
a20^3,a,20,3,,363
a21,a,21,1,,364
a21^2,a,21,2,,365
a21^3,a,21,3,,366
a22,a,22,1,,367
a22^2,a,22,2,,368
a22^3,a,22,3,,369
a23,a,23,1,,370
a23^2,a,23,2,,371
a23^3,a,23,3,,372
a24^2,a,24,2,,373
a24^3,a,24,3,,374
a25^2,a,25,2,,375
a25^3,a,25,3,,376
a26^2,a,26,2,,377
a26^3,a,26,3,,378
a27^2,a,27,2,,379
a27^3,a,27,3,,380
a28^2,a,28,2,,381
a28^3,a,28,3,,382
a29^2,a,29,2,,383
a29^3,a,29,3,,384
a2^2,a,2,2,,385
a3,a,3,1,,386
a3^2,a,3,2,,387
a4,a,4,1,,388
a4^2,a,4,2,,389
a4^3,a,4,3,,390
a5,a,5,1,,391
a5^2,a,5,2,,392
a5^3,a,5,3,,393
a6,a,6,1,,394
a6^2,a,6,2,,395
a6^3,a,6,3,,396
a7,a,7,1,,397
a7^2,a,7,2,,398
a7^3,a,7,3,,399
a8,a,8,1,,400
a8^2,a,8,2,,401
a8^3,a,8,3,,402
a9,a,9,1,,403
a9^2,a,9,2,,404
a9^3,a,9,3,,405
b1,b,1,1,,406
b10,b,10,1,,407
b10^2,b,10,2,,408
b10^3,b,10,3,,409
b11,b,11,1,,410
b11^2,b,11,2,,411
b11^3,b,11,3,,412
b12,b,12,1,,413
b12^2,b,12,2,,414
b12^3,b,12,3,,415
b13,b,13,1,,416
b13^2,b,13,2,,417
b13^3,b,13,3,,418
b14,b,14,1,,419
b14^2,b,14,2,,420
b14^3,b,14,3,,421
b15,b,15,1,,422
b15^2,b,15,2,,423
b15^3,b,15,3,,424
b16,b,16,1,,425
b16^2,b,16,2,,426
b16^3,b,16,3,,427
b17,b,17,1,,428
b17^2,b,17,2,,429
b17^3,b,17,3,,430
b18,b,18,1,,431
b18^2,b,18,2,,432
b18^3,b,18,3,,433
b19,b,19,1,,434
b19^2,b,19,2,,435
b19^3,b,19,3,,436
b2,b,2,1,,437
b20,b,20,1,,438
b20^2,b,20,2,,439
b20^3,b,20,3,,440
b21,b,21,1,,441
b21^2,b,21,2,,442
b21^3,b,21,3,,443
b22,b,22,1,,444
b22^2,b,22,2,,445
b22^3,b,22,3,,446
b23,b,23,1,,447
b23^2,b,23,2,,448
b23^3,b,23,3,,449
b24,b,24,1,,450
b24^2,b,24,2,,451
b24^3,b,24,3,,452
b25,b,25,1,,453
b25^2,b,25,2,,454
b25^3,b,25,3,,455
b26,b,26,1,,456
b26^2,b,26,2,,457
b26^3,b,26,3,,458
b27^2,b,27,2,,459
b27^3,b,27,3,,460
b28^2,b,28,2,,461
b28^3,b,28,3,,462
b29^2,b,29,2,,463
b29^3,b,29,3,,464
b2^2,b,2,2,,465
b3,b,3,1,,466
b3^2,b,3,2,,467
b3^3,b,3,3,,468
b4,b,4,1,,469
b4^2,b,4,2,,470
b4^3,b,4,3,,471
b5,b,5,1,,472
b5^2,b,5,2,,473
b5^3,b,5,3,,474
b6,b,6,1,,475
b6^2,b,6,2,,476
b6^3,b,6,3,,477
b7,b,7,1,,478
b7^2,b,7,2,,479
b7^3,b,7,3,,480
b8,b,8,1,,481
b8^2,b,8,2,,482
b8^3,b,8,3,,483
b9,b,9,1,,484
b9^2,b,9,2,,485
b9^3,b,9,3,,486
c1,c,1,1,,487
c10,c,10,1,,488
c10^2,c,10,2,,489
c10^3,c,10,3,,490
c11,c,11,1,,491
c11^2,c,11,2,,492
c11^3,c,11,3,,493
c12,c,12,1,,494
c12^2,c,12,2,,495
c12^3,c,12,3,,496
c13,c,13,1,,497
c13^2,c,13,2,,498
c13^3,c,13,3,,499
c14,c,14,1,,500
c14^2,c,14,2,,501
c14^3,c,14,3,,502
c15,c,15,1,,503
c15^2,c,15,2,,504
c15^3,c,15,3,,505
c16,c,16,1,,506
c16^2,c,16,2,,507
c16^3,c,16,3,,508
c17,c,17,1,,509
c17^2,c,17,2,,510
c17^3,c,17,3,,511
c18,c,18,1,,512
c18^2,c,18,2,,513
c18^3,c,18,3,,514
c19,c,19,1,,515
c19^2,c,19,2,,516
c19^3,c,19,3,,517
c1^2,c,1,2,,518
c2,c,2,1,,519
c20,c,20,1,,520
c20^2,c,20,2,,521
c20^3,c,20,3,,522
c21,c,21,1,,523
c21^2,c,21,2,,524
c21^3,c,21,3,,525
c22,c,22,1,,526
c22^2,c,22,2,,527
c22^3,c,22,3,,528
c23,c,23,1,,529
c23^2,c,23,2,,530
c23^3,c,23,3,,531
c24,c,24,1,,532
