y33^5	347	1303	0.26631
b33^5	273	1303	0.20952
y34^2	755	7693	0.09814
y34^3	2955	7693	0.38412
y34^4	1289	4986	0.25852
b34^2	585	7693	0.07604
b34^3	1191	7693	0.15482
b34^4	839	4986	0.16827
y35^2	380	6430	0.05910
y35^3	2368	6430	0.36827
y35^4	1473	4466	0.32983
b35^2	215	6430	0.03344
b35^3	816	6430	0.12691
b35^4	780	4466	0.17465
y36^2	207	5312	0.03897
y36^3	1656	5312	0.31175
y36^4	1499	3852	0.38915
b36^2	200	5312	0.03765
b36^3	756	5312	0.14232
b36^4	462	3852	0.11994
y34^5	220	1007	0.21847
b34^5	121	1007	0.12016
y35^5	251	928	0.27047
b35^5	202	928	0.21767
y35^6	133	324	0.41049
y36^5	265	862	0.30742
b36^5	145	862	0.16821
y37^2	104	3917	0.02655
y37^3	1176	3917	0.30023
y37^4	988	2884	0.34258
b37^2	164	3917	0.04187
b37^3	601	3917	0.15343
b37^4	417	2884	0.14459
y38^3	615	2244	0.27406
y38^4	636	1786	0.35610
b38^3	384	2244	0.17112
b38^4	237	1786	0.13270
y37^5	163	684	0.23830
y38^5	165	560	0.29464
y39^3	129	925	0.13946
y39^4	283	775	0.36516
b39^3	164	925	0.17730
b39^4	111	775	0.14323
b38^6	103	202	0.50990
